SEI10,ID,AGE,INCOME16,EDUC,RACE,Black,White,Other,Male,Female,Urban,Fulltime,Parttime,NotWorking,Unemployed,KeepingHouse,Retired,AtSchool
32,269,44,22,12,1,0,1,0,1,0,1,1,0,0,0,0,0,0
84.5,270,75,21,19,1,0,1,0,0,1,1,0,0,0,0,0,1,0
71.4,271,44,20,19,1,0,1,0,0,1,1,0,0,0,0,1,0,0
46.6,272,36,20,17,1,0,1,0,0,1,1,0,1,0,0,0,0,0
67.7,273,62,22,17,1,0,1,0,0,1,1,0,0,0,0,0,1,0
80.7,274,37,19,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
39.7,275,69,16,14,1,0,1,0,0,1,1,0,0,0,0,0,1,0
80.9,277,44,24,21,1,0,1,0,0,1,1,1,0,0,0,0,0,0
39.7,278,59,17,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
77.2,279,61,19,15,1,0,1,0,0,1,0,1,0,0,0,0,0,0
84,280,31,21,11,1,0,1,0,1,0,0,1,0,0,0,0,0,0
62,281,54,16,10,1,0,1,0,0,1,0,0,0,0,0,1,0,0
21.8,282,49,12,15,1,0,1,0,0,1,0,0,0,0,1,0,0,0
62.9,286,38,21,15,2,1,0,0,1,0,1,1,0,0,0,0,0,0
46.6,287,47,11,15,2,1,0,0,1,0,1,1,0,0,0,0,0,0
24.6,288,28,20,15,1,0,1,0,1,0,1,1,0,0,0,0,0,0
38.8,289,73,25,13,1,0,1,0,0,1,1,1,0,0,0,0,0,0
76.3,290,31,22,18,1,0,1,0,0,1,1,1,0,0,0,0,0,0
91.1,291,55,26,20,1,0,1,0,1,0,1,1,0,0,0,0,0,0
59.1,292,61,23,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
65.3,293,50,26,20,1,0,1,0,1,0,1,1,0,0,0,0,0,0
21.8,294,67,9,12,1,0,1,0,0,1,1,0,0,0,0,0,1,0
36.4,295,41,15,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
21.8,296,22,15,13,3,0,0,1,0,1,1,0,1,0,0,0,0,0
55.1,297,60,21,20,1,0,1,0,0,1,1,0,0,0,1,0,0,0
43,298,36,22,17,3,0,0,1,0,1,1,0,0,0,0,1,0,0
91.1,299,39,26,17,3,0,0,1,0,1,1,1,0,0,0,0,0,0
59.1,300,40,17,18,2,1,0,0,1,0,1,1,0,0,0,0,0,0
38.3,302,63,9,10,2,1,0,0,0,1,1,0,0,0,0,1,0,0
13.6,303,60,14,14,2,1,0,0,1,0,1,0,0,0,0,1,0,0
32,304,40,14,14,2,1,0,0,1,0,1,1,0,0,0,0,0,0
73.6,305,40,22,15,2,1,0,0,1,0,1,1,0,0,0,0,0,0
62.9,306,30,25,20,1,0,1,0,0,1,1,1,0,0,0,0,0,0
37.6,307,43,19,13,3,0,0,1,0,1,1,0,0,0,0,1,0,0
12.6,308,52,13,11,3,0,0,1,0,1,1,1,0,0,0,0,0,0
28.6,310,25,9,14,3,0,0,1,0,1,1,0,0,0,1,0,0,0
87.6,312,58,26,17,1,0,1,0,1,0,1,0,0,0,0,0,1,0
61.4,313,60,22,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
73.4,314,44,22,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
43.8,315,69,20,17,1,0,1,0,1,0,1,0,0,0,0,0,1,0
74.8,316,66,24,16,1,0,1,0,1,0,1,1,0,0,0,0,0,0
20.9,317,43,20,13,2,1,0,0,1,0,1,1,0,0,0,0,0,0
46,318,37,14,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
17.5,319,28,18,13,3,0,0,1,1,0,1,0,1,0,0,0,0,0
73.4,320,69,24,17,1,0,1,0,0,1,1,0,0,0,0,0,1,0
61.4,322,60,22,19,1,0,1,0,0,1,1,0,0,1,0,0,0,0
36.5,323,62,18,15,2,1,0,0,0,1,1,0,0,0,0,0,1,0
14,325,32,1,13,1,0,1,0,0,1,1,0,0,0,0,1,0,0
35.8,326,68,18,13,1,0,1,0,0,1,1,0,0,0,0,0,1,0
43.9,327,39,18,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
24.6,328,21,18,13,3,0,0,1,0,1,1,0,1,0,0,0,0,0
68.6,329,52,26,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
71,330,46,26,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
59.1,331,56,26,13,1,0,1,0,1,0,1,0,0,0,0,0,1,0
70.5,332,60,25,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
61.2,333,22,24,16,1,0,1,0,1,0,1,1,0,0,0,0,0,0
24,334,42,20,14,3,0,0,1,1,0,1,1,0,0,0,0,0,0
39.9,335,35,20,10,3,0,0,1,1,0,1,1,0,0,0,0,0,0
78.3,336,42,24,17,3,0,0,1,0,1,1,1,0,0,0,0,0,0
43,337,58,25,18,1,0,1,0,1,0,1,1,0,0,0,0,0,0
43.9,338,32,21,19,1,0,1,0,0,1,1,1,0,0,0,0,0,0
25.7,339,59,26,17,1,0,1,0,0,1,1,0,0,0,0,0,1,0
59.1,340,20,17,15,1,0,1,0,1,0,1,0,0,0,0,0,0,1
43.8,341,44,22,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
24.6,342,34,23,13,1,0,1,0,0,1,1,0,1,0,0,0,0,0
71.8,343,62,26,19,1,0,1,0,0,1,1,1,0,0,0,0,0,0
31.6,344,59,16,17,1,0,1,0,1,0,1,0,1,0,0,0,0,0
38.8,345,51,18,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
77.2,346,37,15,20,1,0,1,0,1,0,1,1,0,0,0,0,0,0
37.6,348,40,19,16,1,0,1,0,0,1,1,1,0,0,0,0,0,0
18.6,349,53,16,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
31,350,52,19,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
21.8,351,52,17,15,1,0,1,0,0,1,1,0,1,0,0,0,0,0
39.2,353,46,23,13,1,0,1,0,0,1,1,1,0,0,0,0,0,0
63.7,354,56,21,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
37.6,355,64,20,14,1,0,1,0,0,1,1,0,0,0,0,1,0,0
80.9,356,62,23,20,2,1,0,0,0,1,0,1,0,0,0,0,0,0
77.2,357,35,21,17,3,0,0,1,0,1,0,0,1,0,0,0,0,0
52,358,60,21,17,1,0,1,0,1,0,0,1,0,0,0,0,0,0
38.8,359,36,20,15,2,1,0,0,0,1,0,1,0,0,0,0,0,0
55.3,360,62,26,14,1,0,1,0,0,1,0,1,0,0,0,0,0,0
65.1,361,30,23,17,1,0,1,0,1,0,0,1,0,0,0,0,0,0
28.7,362,27,19,13,1,0,1,0,1,0,0,1,0,0,0,0,0,0
80.7,363,79,24,17,1,0,1,0,1,0,0,0,0,0,0,0,1,0
67.8,364,60,24,13,1,0,1,0,0,1,0,1,0,0,0,0,0,0
34.5,365,51,26,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
35.3,366,42,20,13,1,0,1,0,0,1,1,1,0,0,0,0,0,0
24,367,59,22,10,1,0,1,0,1,0,1,0,0,0,0,1,0,0
32.6,368,49,14,16,1,0,1,0,1,0,1,0,0,0,1,0,0,0
68,370,47,15,14,1,0,1,0,1,0,1,1,0,0,0,0,0,0
92.8,371,41,26,21,3,0,0,1,0,1,1,1,0,0,0,0,0,0
88.7,372,47,26,19,1,0,1,0,0,1,0,0,0,0,0,1,0,0
84.5,374,80,21,19,3,0,0,1,0,1,0,0,0,0,0,0,1,0
85.5,376,34,20,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
45.1,377,31,19,13,2,1,0,0,1,0,1,1,0,0,0,0,0,0
41.1,378,29,19,17,1,0,1,0,0,1,1,0,0,0,0,1,0,0
84.5,380,68,24,19,2,1,0,0,0,1,1,1,0,0,0,0,0,0
75.5,381,89,20,21,1,0,1,0,1,0,1,0,0,0,0,0,1,0
77.4,382,76,26,17,1,0,1,0,0,1,1,0,0,0,0,0,1,0
43,383,64,10,13,1,0,1,0,1,0,1,0,0,0,0,0,1,0
43,384,40,20,14,2,1,0,0,0,1,1,1,0,0,0,0,0,0
67.7,385,27,26,19,2,1,0,0,0,1,1,1,0,0,0,0,0,0
75.5,386,56,22,17,2,1,0,0,0,1,1,1,0,0,0,0,0,0
20.1,388,29,17,17,2,1,0,0,0,1,1,1,0,0,0,0,0,0
71.8,389,74,22,17,1,0,1,0,0,1,1,0,0,0,0,0,1,0
62.9,391,65,15,17,2,1,0,0,0,1,1,0,0,0,0,0,1,0
24.6,392,41,16,13,2,1,0,0,0,1,1,0,1,0,0,0,0,0
73.4,393,38,23,21,1,0,1,0,1,0,1,1,0,0,0,0,0,0
82.7,394,49,22,15,1,0,1,0,1,0,1,1,0,0,0,0,0,0
84.5,395,25,16,17,1,0,1,0,1,0,1,0,0,0,0,0,0,1
88.3,396,25,25,19,1,0,1,0,0,1,1,1,0,0,0,0,0,0
20.1,397,26,15,17,2,1,0,0,0,1,1,0,0,0,0,0,0,1
67.8,398,34,24,19,1,0,1,0,0,1,1,1,0,0,0,0,0,0
37.6,399,34,19,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
37.6,400,36,22,17,2,1,0,0,1,0,1,1,0,0,0,0,0,0
18.6,401,59,22,12,1,0,1,0,1,0,1,1,0,0,0,0,0,0
41,402,49,21,14,1,0,1,0,0,1,1,0,0,1,0,0,0,0
84.2,403,45,25,15,1,0,1,0,0,1,1,1,0,0,0,0,0,0
20.7,404,34,20,13,2,1,0,0,1,0,1,1,0,0,0,0,0,0
86.1,405,44,26,17,3,0,0,1,1,0,1,1,0,0,0,0,0,0
82.4,406,66,22,13,1,0,1,0,0,1,1,0,0,0,0,0,1,0
74.8,407,53,24,13,1,0,1,0,0,1,1,0,0,0,0,1,0,0
84.5,408,59,23,21,3,0,0,1,0,1,1,1,0,0,0,0,0,0
77.4,409,43,26,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
65.3,410,44,18,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
82.7,411,68,11,20,1,0,1,0,1,0,1,0,0,0,0,0,1,0
80.9,412,37,21,21,1,0,1,0,1,0,1,1,0,0,0,0,0,0
56.9,413,37,25,16,1,0,1,0,1,0,1,1,0,0,0,0,0,0
44.6,414,48,22,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
41.1,415,34,14,13,2,1,0,0,0,1,1,1,0,0,0,0,0,0
59.1,416,25,19,13,2,1,0,0,1,0,1,1,0,0,0,0,0,0
25.7,417,44,18,14,1,0,1,0,0,1,1,1,0,0,0,0,0,0
38.8,420,64,13,15,2,1,0,0,0,1,1,0,0,0,0,0,1,0
20.7,421,21,17,14,1,0,1,0,1,0,1,0,1,0,0,0,0,0
24.2,422,31,19,11,2,1,0,0,0,1,1,1,0,0,0,0,0,0
37.6,423,27,18,13,1,0,1,0,0,1,1,0,1,0,0,0,0,0
84.2,424,53,26,21,1,0,1,0,0,1,1,1,0,0,0,0,0,0
67.7,425,70,22,19,1,0,1,0,0,1,1,0,0,0,0,0,1,0
85.2,427,59,26,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
80.2,428,47,26,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
55.3,429,27,22,11,2,1,0,0,1,0,1,0,1,0,0,0,0,0
34.8,430,52,19,11,3,0,0,1,1,0,1,1,0,0,0,0,0,0
39.7,431,26,20,12,3,0,0,1,0,1,1,1,0,0,0,0,0,0
25.2,432,24,1,13,1,0,1,0,0,1,1,0,1,0,0,0,0,0
41.1,433,25,16,12,3,0,0,1,0,1,1,0,0,0,1,0,0,0
27.6,434,44,20,7,3,0,0,1,1,0,1,1,0,0,0,0,0,0
31.2,435,29,18,14,1,0,1,0,1,0,0,1,0,0,0,0,0,0
67.8,436,57,24,17,1,0,1,0,0,1,0,1,0,0,0,0,0,0
52.4,438,66,22,15,1,0,1,0,1,0,0,0,0,0,0,0,1,0
12.6,439,48,8,12,2,1,0,0,0,1,1,0,0,0,0,0,0,1
87.9,440,26,11,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
86.9,441,29,21,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
44.6,442,48,26,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
55.1,443,30,16,21,1,0,1,0,1,0,1,0,0,0,0,0,0,1
38.8,444,56,15,13,1,0,1,0,1,0,1,0,1,0,0,0,0,0
20.7,445,28,20,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
36.2,447,65,19,13,1,0,1,0,1,0,1,0,0,0,0,0,1,0
18.6,448,43,19,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
73.9,449,49,26,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
61.4,450,19,20,13,1,0,1,0,0,1,1,0,1,0,0,0,0,0
61.4,451,30,15,15,1,0,1,0,0,1,1,0,0,0,0,1,0,0
58.4,452,67,21,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
34.6,454,40,17,13,1,0,1,0,1,0,1,0,1,0,0,0,0,0
87.9,455,65,15,18,1,0,1,0,1,0,1,0,0,0,1,0,0,0
21.8,456,63,9,13,1,0,1,0,0,1,1,0,0,0,0,1,0,0
68.6,457,34,26,18,3,0,0,1,0,1,1,1,0,0,0,0,0,0
73.9,458,37,26,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
57.8,459,48,26,19,1,0,1,0,0,1,1,1,0,0,0,0,0,0
92.8,461,58,26,21,1,0,1,0,0,1,1,1,0,0,0,0,0,0
67.7,463,37,26,21,1,0,1,0,0,1,1,1,0,0,0,0,0,0
81.9,464,66,26,17,1,0,1,0,1,0,1,0,1,0,0,0,0,0
69.4,465,31,20,20,1,0,1,0,1,0,1,1,0,0,0,0,0,0
59.4,466,64,23,17,1,0,1,0,1,0,1,0,1,0,0,0,0,0
76.3,467,57,24,19,1,0,1,0,0,1,1,1,0,0,0,0,0,0
84.5,468,59,26,21,1,0,1,0,0,1,1,1,0,0,0,0,0,0
19.7,469,29,23,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
77.4,470,59,26,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
82.5,471,59,26,19,1,0,1,0,0,1,1,1,0,0,0,0,0,0
85.2,472,71,24,17,1,0,1,0,1,0,1,0,1,0,0,0,0,0
65.3,473,36,23,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
32.6,474,29,18,14,1,0,1,0,1,0,1,1,0,0,0,0,0,0
